Stir-Fried Black Rice with Fried Egg and Roasted Broccoli,,oil,eggs,salt,rice,miso,cilantro,avocado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greens Eggs and Ham,,bread,oil,salt,chard,mustard,kale,bacon,scallions,cloves,garlic,chiles,pepper,cream,dill,parmesan,eggs,pepper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blackberry-Cherry Cobbler with Honey Whipped Cream,,blackberries,cherries,sugar,flour,lemon,marjoram,vanilla,cinnamon,salt,flour,powder,salt,sugar,butter,buttermilk,egg,cream,cream,honey,sugar,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Manicotti,,eggs,flour,salt,oil,egg,ricotta,mozzarella,parmesan,salt,pepper,spinach,marinara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Classic Potato Gratin,,cloves,garlic,butter,shallots,cream,salt,pepper,thyme,potatoes,gruyere,parmesan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Curried Potato Tart with Cilantro Yogurt,,butter,cardamom,coriander,onion,cloves,garlic,jalapeno,butter,oil,mustard,curry,powder,salt,potatoes,salt,spinach,peas,cream,yogurt,pepper,pastry,garlic,cilantro,lime,,,,,,,,,,,,,,,,,,,,,,,,
Tamale Pie with Mint Yogurt,,oil,beef,salt,onions,chiles,cloves,garlic,tomato,ras-el-hanout,cumin,beer,chicken,pepper,cornmeal,flour,sugar,powder,eggs,milk,jack,yogurt,mint,avocado,scallions,cilantro,onions,,,,,,,,,,,,,,,,,,,,,,
Fennel Gratin with Walnut-Thyme Breadcrumbs,,fennel,onion,cream,butter,thyme,salt,pepper,breadcrumbs,walnuts,oil,parmesan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apple and Blackberry Polenta Cobbler,,apples,blackberries,sugar,cornstarch,honey,butter,lemon,cornmeal,powder,salt,flour,sugar,butter,cream,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baked Rice with Gingery Short Ribs,,oil,beef,salt,shallots,cloves,garlic,chile,ginger,cinnamon,tomato,coriander,cumin,rice,rice,salt,carrots,currants,apple,wine,vinegar,sugar,butter,saffron,dill,pomegranate,,,,,,,,,,,,,,,,,,,,,,,
Spanish Breakfast Casserole with Eggs and Bacon,,bread,oil,salt,peppers,chiles,paprika,cream,bacon,onion,cloves,garlic,eggs,parsley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cornmeal Jalapeño Biscuits with Mushroom Gravy,,oil,mushrooms,salt,mushrooms,butter,shallots,cloves,garlic,thyme,flour,onion,kale,greens,cream,pepper,flour,cornmeal,powder,salt,sugar,soda,butter,buttermilk,scallions,jalapeno,cheddar,,,,,,,,,,,,,,,,,,,,,,
Plantain and Lamb Casserole,,plantains,oil,salt,lamb,onion,pepper,cloves,garlic,powder,oregano,powder,garlic,coriander,cumin,powder,thyme,olives,raisins,tomatoes,tomato,cheddar,eggs,milk,powder,,,,,,,,,,,,,,,,,,,,,,,,
Moussaka,,lamb,cloves,garlic,oil,mint,oregano,eggplants,eggplant,salt,pepper,lamb,onions,cinnamon,chiles,paprika,tomato,wine,tomatoes,butter,flour,milk,salt,parmesan,egg,,,,,,,,,,,,,,,,,,,,,,,,
Savory Sweet Potato Casserole,,potatoes,rosemary,sage,butter,breadcrumbs,salt,pepper,shallots,cream,eggs,parmesan,lemon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lamb and Eggplant Shepherd's Pie,,eggplant,salt,oil,lamb,flour,onions,wine,tomatoes,beef,cloves,garlic,oregano,potatoes,butter,oil,cloves,garlic,milk,cheese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Butternut Squash Baked Pasta,,walnuts,oil,onion,cloves,garlic,pepper,squash,chicken,rigatoni,salt,parmesan,basil,pepper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cheesy Egg Bake with Sausage,,squash,oil,salt,pepper,sausage,onion,chile,garlic,eggs,milk,cream,jack,cheddar,cheese,cilantro,parsley,basil,scallion,greens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA's Best Baked Ziti,,butter,flour,milk,parmesan,salt,pepper,oil,pancetta,onion,cloves,garlic,pepper,tomato,tomatoes,basil,rigatoni,mozzarella,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cheesy Cabbage Gratin,,cabbage,oil,salt,pepper,shallots,cloves,garlic,cream,thyme,butter,gruyere,parmesan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Broccolini-Cheddar Gratin with Rye Breadcrumbs,,bread,chiles,oil,salt,pepper,broccolini,parmesan,cheddar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA's Best Green Bean Casserole,,beans,salt,oil,mushrooms,butter,thyme,flour,milk,cream,cloves,garlic,parmesan,pepper,onions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spicy Baked Pasta With Cheddar and Broccoli Rabe,,salt,rigatoni,oil,leeks,pepper,pepper,broccolini,cream,cheddar,chives,panko,breadcrumbs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mixed Berry Cobbler,,sugar,cornstarch,berries,flour,sugar,powder,salt,butter,milk,cream,vanilla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greens and Cheese Vegetable Lasagna,,butter,flour,milk,parmesan,salt,pepper,noodles,salt,oil,cloves,garlic,greens,kale,pepper,ricotta,eggs,thyme,lemon,mozzarella,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA's Best Lasagna,,pork,beef,salt,pepper,oil,bacon,pancetta,onion,celery,carrot,cloves,garlic,tomato,wine,tomatoes,chicken,milk,butter,flour,milk,parmesan,pepper,nutmeg,salt,pepper,noodles,salt,oil,,,,,,,,,,,,,,,,,,,,
Spanakopita Pie,,spinach,oil,leek,onion,scallions,cloves,garlic,salt,pepper,egg,egg,feta,parmesan,basil,dill,oregano,lemon,butter,phyllo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
One-Pot Baked Pasta with Sausage and Broccoli Rabe,,salt,fontina,cheddar,cheese,cloves,garlic,sage,broccoli,rabe,oil,sausage,hot,pepper,half-and-half,rigatoni,pasta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fish Pie with Potatoes Leeks Zucchini and Tomatoes,,potatoes,salt,butter,leek,pepper,cream,zucchini,garlic,brandy,tomatoes,fish,cod,salmon,shrimp,trout,dill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Root Vegetable Gratin,,butter,breadcrumbs,parmesan,thyme,salt,pepper,cream,chicken,celery,rutabaga,turnips,potatoes,cloves,garlic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baked Pasta alla Norma,,eggplant,tomatoes,cloves,garlic,oil,pepper,salt,eggs,tomato,parmesan,spaghetti,capers,basil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vegetable Shepherd’s Pie,,potatoes,potatoes,butter,salt,mushrooms,lentils,cloves,garlic,salt,oil,onions,tomato,bay,wine,broth,cornstarch,soy,miso,pepper,turnips,carrots,squash,onions,rosemary,mushrooms,parsley,chives,,,,,,,,,,,,,,,,,,,,,
Apple Pandowdy,,butter,apples,sugar,flour,vanilla,cinnamon,salt,lemon,ginger,pastry,sugar,cream,vanilla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beef Bourguignonne Pot Pie,,oil,flour,salt,pepper,beef,bacon,onion,leek,carrot,garlic,parsley,brandy,thyme,bay,anise,chicken,broth,wine,butter,mushrooms,onions,lemon,pastry,egg,pastry,,,,,,,,,,,,,,,,,,,,,,,
Skillet Phyllo Pie with Butternut Squash Kale and Goat Cheese,,oil,onions,squash,thyme,pepper,kale,eggs,parmesan,lemon,salt,pepper,phyllo,pastry,feta,cheese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Endive and Fennel Gratin,,endives,fennel,cloves,garlic,butter,salt,pepper,cream,parmesan,cheddar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Short Rib Pot Pie,,flour,salt,butter,beef,beef,salt,pepper,flour,oil,onions,cloves,garlic,tomato,wine,rosemary,thyme,salt,cream,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basically Skillet Lasagna,,salt,onion,cloves,garlic,oil,tomatoes,oregano,pepper,basil,spinach,ricotta,pepper,parmesan,noodles,mozzarella,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Confit Chicken Thigh and Andouille Sausage Cassoulet,,chicken,confit,chicken,salt,pepper,garlic,shallots,thyme,bay,berries,juniper,oil,onion,cloves,garlic,tomatoes,beans,salt,pepper,sausages,bread,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tomato and Cheddar Pie,,flour,powder,soda,salt,butter,buttermilk,tomatoes,cheddar,parmesan,scallion,mayonnaise,dill,apple,vinegar,sugar,salt,pepper,cornmeal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chicken Pot Pie with Acorn Squash,,butter,chicken,onion,celery,salt,pepper,sauerkraut,squash,flour,milk,egg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apricot Cherry and Graham Cracker Crumble,,apricots,cherries,cornstarch,sugar,salt,bean,vanilla,graham,butter,almonds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Collard Green Gratin,,ham,prosciutto,breadcrumbs,oil,thyme,parmesan,salt,pepper,greens,onion,cloves,garlic,butter,flour,milk,nutmeg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lentil and Garlic Sausage Cassoulet,,bacon,bay,onions,cloves,lentils,oil,carrots,celery,pepper,salt,pepper,cloves,garlic,sage,thyme,sausage,garlic,bread,breadcrumbs,oil,butter,parsley,chives,mustard,,,,,,,,,,,,,,,,,,,,,,,,
Squash and Broccoli Rabe Lasagna,,squash,oil,salt,pepper,broccoli,rabe,pepper,mozzarella,ricotta,parmesan,lemon,sage,rosemary,butter,flour,half-and-half,nutmeg,bay,salt,pepper,noodles,parmesan,,,,,,,,,,,,,,,,,,,,,,,,,,
Winter White Salad,,daikon,fennel,cauliflower,radishes,endive,pear,cheese,oil,lemon,lemon,salt,pepper,milk,yogurt,mayonnaise,garlic,salt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roasted Aloo Gobi (Potatoes and Cauliflower),,potatoes,cauliflower,oil,cumin,turmeric,onion,ginger,asafetida,powder,salt,lime,cilantro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cauliflower Tacos With Cashew Crema,,chile,garlic,butter,lime,salt,garlic,cloves,oil,cumin,paprika,cauliflower,salt,tortillas,onion,lime,radishes,cilantro,avocado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cauliflower Bolognese,,mushrooms,cauliflower,oil,butter,onion,garlic,cloves,serrano,chile,pepper,rosemary,tomato,salt,rigatoni,parmesan,parsley,lemon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cauliflower Steaks,,cauliflower,oil,salt,pepper,yogurt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cauliflower Rice Pilaf,,cauliflower,scallions,butter,almonds,cinnamon,pepper,salt,raisins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roasted Cauliflower with Capers and Parmesan,,cauliflower,oil,salt,pepper,parmesan,capers,lemon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parmesan-Roasted Cauliflower,,cauliflower,onion,thyme,garlic,cloves,oil,salt,pepper,parmesan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cauliflower Steaks and Purée with Walnut-Caper Salsa,,salsa,walnuts,oil,capers,chile,parsley,currants,wine,vinegar,lemon,salt,cauliflower,salt,garlic,lemon,tahini,oil,butter,oregano,lemon,lemon,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shaved Cauliflower Salad,,lime,lime,mustard,honey,oil,salt,pepper,cauliflower,yeast,lettuce,romaine,frisee,parmesan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kung Pao Cauliflower,,rice,wine,cornstarch,soy,vinegar,hoisin,sugar,oil,sesame,cauliflower,oil,bacon,chiles,peppercorns,scallions,serrano,chile,ginger,garlic,cloves,peanuts,salt,rice,,,,,,,,,,,,,,,,,,,,,,,,,
Sheet-Pan Garam Masala Chicken,,ginger,yogurt,lemons,pepper,masala,chicken,salt,cauliflower,oil,onion,jalapeno,cilantro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shaved Cauliflower,,cauliflower,oil,pepper,salt,coconut,turmeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skirt Steak with Preserved Lemon Butter and Sesame Cauliflower,,butter,lemon,lemon,butter,thyme,lemon,pepper,salt,cauliflower,cauliflower,oil,pepper,salt,garlic,lemon,sesame,steak,parsley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cauliflower-Cashew Soup with Crispy Buckwheat,,oil,shallots,cloves,garlic,bay,thyme,salt,wine,cauliflower,pepper,cashews,stock,pepper,buckwheat,lemon,paprika,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Easy Flatbread with Cauliflower and Tofu,,flour,salt,powder,flour,yogurt,tofu,cauliflower,oil,cauliflower,onion,cloves,garlic,pepper,salt,ginger,turmeric,tofu,raisins,almonds,dill,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italian Crudités,,carrots,radishes,asparagus,celery,broccoli,cauliflower,fennel,endives,lettuces,onions,watercress,haricots,lemon,salt,oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shingaras with Cauliflower and Potato Filling,,pepper,cumin,oil,peanuts,ginger,cumin,turmeric,potato,cauliflower,chile,serrano,sugar,salt,peas,raisins,chile,serrano,cilantro,coconut,yogurt,lime,salt,egg,oil,,,,,,,,,,,,,,,,,,,,,,,,
Roasted Cauliflower and Ricotta Grandma Pie,,cauliflower,cauliflower,lemon,oil,cloves,garlic,capers,oil,pepper,salt,breadcrumbs,breadcrumbs,oil,parmesan,mozzarella,ricotta,parsley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Whole Roasted Cauliflower Salad,,cauliflower,onion,cloves,garlic,basil,powder,curry,pepper,parmesan,oil,parsley,mint,lemon,sugar,salt,raisins,feta,almonds,scallions,cilantro,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roasted Short Ribs with Cauliflower and Celery,,cloves,garlic,salt,rosemary,oil,soy,pepper,beef,pepper,cauliflower,cauliflower,oil,pepper,salt,cream,hazelnuts,celery,parsley,oil,wine,vinegar,pepper,salt,,,,,,,,,,,,,,,,,,,,,,,,,
Grilled Cauliflower Steaks and Scallions,,cauliflower,oil,scallions,pepper,salt,ginger,garlic,cilantro,lime,oil,pepper,sesame,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cauliflower with Pumpkin Seeds Brown Butter and Lime,,oil,cauliflower,pepper,salt,butter,pumpkin,pepper,cilantro,lime,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shrimp Curry with Chickpeas and Cauliflower,,oil,onion,fennel,ginger,pepper,salt,lemongrass,curry,bean,oil,shrimp,coconut,milk,broth,chicken,fish,cauliflower,chickpease,shrimp,cabbage,cilantro,rice,basil,lime,,,,,,,,,,,,,,,,,,,,,,,,
Cauliflower Salad with Mint Pomegranates and Nigella Seeds,,lemon,lemon,orange,cauliflower,pomegranate,mint,parsley,chives,nigella,oil,salt,nigella,onion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crispy Brown Rice “Kabbouleh”,,currants,vinegar,rice,salt,oil,cauliflower,kale,cucumber,scallion,oil,pepper,sumac,pepper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tarragon Cauliflower Pickles,,cauliflower,tarragon,vinegar,salt,sugar,peppercorns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vadouvan-Roasted Cauliflower with Harissa Chickpea Curry,,chiles,vinegar,sugar,salt,cauliflower,oil,powder,curry,shallots,oil,chickpeas,onion,ginger,garlic,lemongrass,tomato,harissa,coconut,milk,cilantro,rice,,,,,,,,,,,,,,,,,,,,,,,,,,,
Herbed Cauliflower Rice,,cauliflower,butter,oil,scallions,jalapeno,cilantro,pepper,salt,salt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spicy Cauliflower Sabzi with Cashews,,cashews,fennel,coconut,oil,mustard,scallions,potatoes,cauliflower,chiles,serrano,turmeric,masala,cilantro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barley Cauliflower and Herbs with Burrata,,barley,salt,breadcrumbs,oil,milk,cauliflower,shallot,celery,parsley,lemon,lemon,wine,vinegar,mozzarella,creme,pepper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roasted Cauliflower with Lemon-Parsley Dressing,,cauliflower,oil,pepper,salt,parsley,lemon,lemon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ginger-Lime Cauliflower,,salt,ginger,cauliflower,oil,mustard,fennel,coriander,cumin,turmeric,lime,cilantro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Whole Roasted Cauliflower with Whipped Goat Cheese,,cauliflower,wine,oil,salt,lemon,butter,pepper,sugar,bay,cauliflower,cheese,cheese,cream,feta,cream,oil,salt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cauliflower with Leek ""Ash""",,leek,cauliflower,milk,salt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tandoori Cauliflower,,cloves,garlic,wine,vinegar,tandoori,cauliflower,cornstarch,salt,masala,tandoori,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roasted Cauliflower Larb,,cauliflower,oil,chiles,lemongrass,lime,fish,lime,rice,scallions,tendrils,cilantro,mint,salt,cucumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rye Berry Salad with Cider-Yogurt Dressing and Herbs,,garlic,salt,yogurt,apple,vinegar,oil,pepper,berries,cucumbers,wine,vinegar,salt,oil,cauliflower,pepper,radishes,scallions,lemon,parsley,dill,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cauliflower Steaks with Olive Relish and Tomato Sauce,,cauliflower,olives,tomatoes,oil,parsley,lemon,pepper,salt,cloves,garlic,tomatoes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roasted Cauliflower,,cauliflower,oil,pepper,salt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
